existing_id,school_name,department,item,status,reason,searched_sources,recommended_next_action
misatoko-ke,美里工業,建築科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
misatoko-ke,美里工業,建築科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-44-criteria-detail / school-44-main / school-44-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
misatoko-ki,美里工業,機械科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
misatoko-ki,美里工業,機械科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-44-criteria-detail / school-44-main / school-44-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
misatoko-se,美里工業,設備工業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
misatoko-se,美里工業,設備工業科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-44-criteria-detail / school-44-main / school-44-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
misatoko-ch,美里工業,調理科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
misatoko-ch,美里工業,調理科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-44-criteria-detail / school-44-main / school-44-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
misatoko-de,美里工業,電気科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
misatoko-de,美里工業,電気科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-44-criteria-detail / school-44-main / school-44-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
nishihara-bunri,西原,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nishihara-kenko,西原,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yomitan-f,読谷,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yomitan-f,読谷,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-09-main / school-09-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
tomishiro-f,豊見城,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
tomishiro-f,豊見城,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-30-main / school-30-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
tomiminami-f,豊見城南,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
tomiminami-t,豊見城南,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
tomiminami-f,豊見城南,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-31-page / tominan-r8-detail,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
tomiminami-t,豊見城南,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-31-page / tominan-r8-detail,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
hentona-f,辺土名,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
hentona-env,辺土名,自然環境科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
naha-f,那覇,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahasho-sho,那覇商業,商業科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahasho-kokukei,那覇商業,国際経済科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahasho-joho,那覇商業,情報処理科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahakok-k,那覇国際,国際科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahakok-f,那覇国際,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahako-graphic,那覇工業,グラフィックアーツ科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahako-fuku,那覇工業,服飾デザイン科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahako-kikai,那覇工業,機械科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahako-night-kikai,那覇工業,機械科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahako-jidosha,那覇工業,自動車科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahako-denki,那覇工業,電気科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahako-night-denki,那覇工業,電気科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahanishi-tai,那覇西,体育科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahanishi-jin,那覇西,国際人文科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
nahanishi-f,那覇西,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kaiho-g,開邦,学術探究科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kaiho-art-art,開邦,芸術科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
kaiho-art-music,開邦,芸術科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
yomei-sogo,陽明,総合学科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
shuri-f,首里,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
shuri-f,首里,普通科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-23-criteria / school-23-main / school-23-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
shuri-sen,首里,染織デザイン科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
shuri-sen,首里,染織デザイン科,配点,not_published,確認できた令和8年度学校公式資料には項目別の数値配点が掲載されていない。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-23-criteria / school-23-main / school-23-page,令和9年度の学校別選抜方法または別紙配点表が公開されたら再確認する。
shurihigashi-f,首里東,普通科,令和9年度学校別募集要項・特色選抜資料,not_published,2026年7月7日時点で県公式の令和9年度学校別資料が未公表。,沖縄県教育委員会令和9年度入学者選抜ページ、学校公式入試ページ,令和9年度資料公開後、referenceYear・status・各項目・出典を令和9年度版へ差し替える。
shurihigashi-f,首里東,普通科,実績ランク詳細,not_found,令和8年度の学校公式募集要項・特色選抜方法・入試情報ページを確認したが、級別・大会範囲別の独立した実績ランク表を公式サイト上で特定できなかった。,pref-r8-ratio / pref-r8-capacity / pref-r8-official-list / pref-r8-guidelines / pref-r9-info-page / school-24-main / school-24-page,令和9年度資料の公開時に、別紙ランク表または評価基準表が追加されていないか再確認する。
